Hand,20d20
4-Straight 3 22222 1111111,34191
4-Straight 3 2222 111111111,29221
4-Straight 33 222 11111111,28552
4-Straight 33 2222 111111,25421
5-Straight 3 22222 1111111,22761
5-Straight 3 2222 111111111,21630
5-Straight 33 222 11111111,18778
33 2222 111111,15666
6-Straight 3 2222 111111111,15635
4-Straight 3 222222 11111,15494
5-Straight 33 2222 111111,14966
4-Straight 4 3 222 1111111,14613
6-Straight 3 22222 1111111,14203
4-Straight 222222 11111111,13156
6-Straight 33 222 11111111,11837
4-Straight 33 22 1111111111,11722
4-Straight 4 2222 11111111,10628
7-Straight 3 2222 111111111,10611
4-Straight 3 222 11111111111,10462
4-Straight 333 22 1111111,9925
5-Straight 222222 11111111,9578
3 22222 1111111,9402
4-Straight 4 3 22 111111111,9354
3 222222 11111,9123
5-Straight 3 222222 11111,8981
4 3 222 1111111,8936
4 3 2222 11111,8922
33 22222 1111,8880
4-Straight 22222 1111111111,8619
5-Straight 33 22 1111111111,8573
5-Straight 4 3 222 1111111,8495
4-Straight 2222222 111111,8427
7-Straight 3 22222 1111111,8256
5-Straight 3 222 11111111111,8252
33 222 11111111,8035
6-Straight 33 2222 111111,7999
4-Straight 4 3 2222 11111,7985
4-Straight 33 22222 1111,7978
333 222 11111,7820
4-Straight 4 22222 111111,7557
5-Straight 4 2222 11111111,7081
4-Straight 333 222 11111,7050
6-Straight 222222 11111111,6944
5-Straight 22222 1111111111,6888
8-Straight 3 2222 111111111,6802
6-Straight 3 222 11111111111,6530
7-Straight 33 222 11111111,6527
5-Straight 4 3 22 111111111,6271
6-Straight 33 22 1111111111,6172
4 33 22 111111,5932
333 22 1111111,5843
4-Straight 4 222 1111111111,5835
5-Straight 2222222 111111,5657
5-Straight 333 22 1111111,5620
6-Straight 22222 1111111111,5377
4-Straight 4 33 22 111111,5237
7-Straight 3 222 11111111111,5156
7-Straight 222222 11111111,4739
6-Straight 3 222222 11111,4729
6-Straight 4 3 222 1111111,4673
4 22222 111111,4533
5-Straight 4 22222 111111,4453
6-Straight 4 2222 11111111,4381
5-Straight 4 222 1111111111,4347
4-Straight 333 2 111111111,4302
8-Straight 3 22222 1111111,4255
4 33 222 1111,4242
7-Straight 33 22 1111111111,4186
7-Straight 22222 1111111111,4134
5-Straight 4 3 2222 11111,4002
9-Straight 3 2222 111111111,3981
6-Straight 4 3 22 111111111,3950
7-Straight 33 2222 111111,3929
5-Straight 33 22222 1111,3910
4-Straight 4 33 2 11111111,3788
8-Straight 3 222 11111111111,3780
8-Straight 33 222 11111111,3611
5-Straight 333 222 11111,3543
6-Straight 2222222 111111,3537
8-Straight 22222 1111111111,3204
6-Straight 4 222 1111111111,3153
6-Straight 333 22 1111111,3039
8-Straight 222222 11111111,3029
4 2222 11111111,2964
5-Straight 333 2 111111111,2831
333 2222 111,2792
3 2222 111111111,2730
9-Straight 3 222 11111111111,2725
4 3 22 111111111,2700
8-Straight 33 22 1111111111,2693
7-Straight 4 2222 11111111,2600
5-Straight 4 33 22 111111,2575
4 3 22222 111,2537
3 2222222 111,2506
4-Straight 2222 111111111111,2486
2222222 111111,2429
7-Straight 4 3 22 111111111,2373
6-Straight 4 22222 111111,2370
5 3 222 111111,2348
4 33 2 11111111,2305
4-Straight 3 2222222 111,2263
7-Straight 3 222222 11111,2255
4-Straight 5 2222 1111111,2241
4-Straight 4 33 222 1111,2227
4-Straight 4 3 2 11111111111,2204
9-Straight 22222 1111111111,2203
4-Straight 5 3 22 11111111,2200
5-Straight 2222 111111111111,2194
7-Straight 4 3 222 1111111,2175
4 222222 1111,2138
4-Straight 5 3 222 111111,2138
10-Straight 3 2222 111111111,2127
5-Straight 4 33 2 11111111,2106
7-Straight 4 222 1111111111,2062
4-Straight 22222222 1111,2060
9-Straight 3 22222 1111111,2038
7-Straight 2222222 111111,2026
4-Straight 4 222222 1111,1953
4-Straight 5 222 111111111,1887
6-Straight 333 2 111111111,1831
6-Straight 2222 111111111111,1815
10-Straight 3 222 11111111111,1789
6-Straight 33 22222 1111,1773
6-Straight 4 3 2222 11111,1771
9-Straight 222222 11111111,1767
9-Straight 33 222 11111111,1745
4-Straight 33 2 111111111111,1722
8-Straight 33 2222 111111,1646
5-Straight 4 3 2 11111111111,1620
9-Straight 33 22 1111111111,1579
4-Straight 3 22 1111111111111,1574
6-Straight 333 222 11111,1563
7-Straight 333 22 1111111,1526
4-Straight 333 2222 111,1515
7-Straight 2222 111111111111,1511
44 222 111111,1499
8-Straight 4 2222 11111111,1439
10-Straight 22222 1111111111,1428
3333 22 1111,1408
4-Straight 44 22 11111111,1408
5-Straight 33 2 111111111111,1389
4-Straight 44 222 111111,1367
5 3 22 11111111,1343
8-Straight 4 222 1111111111,1326
5-Straight 3 22 1111111111111,1325
5 2222 1111111,1319
5-Straight 5 2222 1111111,1318
3333 2 111111,1316
44 3 22 11111,1310
22222222 1111,1305
4-Straight 4 22 111111111111,1297
4-Straight 4 3 22222 111,1283
5-Straight 5 3 22 11111111,1265
5-Straight 5 222 111111111,1262
33 222222 11,1257
5 3 2222 1111,1241
8-Straight 2222 111111111111,1240
222222 11111111,1237
4-Straight 3333 2 111111,1210
4 333 2 11111,1199
333 2 111111111,1198
5-Straight 22222222 1111,1178
7-Straight 4 22222 111111,1172
6-Straight 4 3 2 11111111111,1150
6-Straight 33 2 111111111111,1138
6-Straight 4 33 22 111111,1138
8-Straight 4 3 22 111111111,1133
5-Straight 3 2222222 111,1130
6-Straight 3 22 1111111111111,1107
8-Straight 2222222 111111,1105
6-Straight 4 33 2 11111111,1095
9-Straight 2222 111111111111,1087
5-Straight 4 22 111111111111,1076
11-Straight 3 222 11111111111,1075
33 22 1111111111,1073
5 22222 11111,1071
7-Straight 333 2 111111111,1049
5 33 22 11111,1034
5-Straight 5 3 222 111111,1014
8-Straight 3 222222 11111,1002
5-Straight 4 222222 1111,1001
11-Straight 3 2222 111111111,962
4-Straight 5 22222 11111,946
10-Straight 222222 11111111,939
8-Straight 4 3 222 1111111,935
7-Straight 3 22 1111111111111,909
5-Straight 4 33 222 1111,900
11-Straight 22222 1111111111,887
10-Straight 2222 111111111111,884
44 22 11111111,883
6-Straight 4 22 111111111111,871
7-Straight 33 2 111111111111,861
10-Straight 3 22222 1111111,840
44 3 2 1111111,836
10-Straight 33 22 1111111111,833
9-Straight 4 222 1111111111,825
44 2222 1111,806
7-Straight 4 3 2 11111111111,793
6-Straight 5 222 111111111,783
5-Straight 44 22 11111111,774
4-Straight 5 3 2 1111111111,764
4-Straight 3333 22 1111,763
4-Straight 44 3 2 1111111,748
8-Straight 3 22 1111111111111,747
4 33 2222 11,723
5-Straight 44 222 111111,699
7-Straight 4 3 2222 11111,697
4-Straight 4 33 1111111111,680
11-Straight 2222 111111111111,679
4-Straight 33 222222 11,675
10-Straight 33 222 11111111,673
9-Straight 3 22 1111111111111,670
6-Straight 5 3 22 11111111,668
8-Straight 333 22 1111111,666
6-Straight 5 2222 1111111,666
7-Straight 33 22222 1111,664
7-Straight 4 22 111111111111,657
4-Straight 5 22 11111111111,653
5 33 2 1111111,651
9-Straight 4 2222 11111111,640
8-Straight 33 2 111111111111,632
4-Straight 5 3 2222 1111,622
4-Straight 44 3 22 11111,612
7-Straight 333 222 11111,611
4-Straight 4 333 2 11111,611
4 333 22 111,610
6-Straight 22222222 1111,609
5-Straight 333 2222 111,604
4-Straight 5 33 2 1111111,585
7-Straight 4 33 2 11111111,576
9-Straight 33 2222 111111,565
